Freq.	V(out)
1.07791332704472e-002	-4.09016672861709e-002,7.21176747871285e-002
1.07838637043837e-002	-4.09372646901328e-002,7.21531566490597e-002
1.07885962142762e-002	-4.09728928032262e-002,7.21886590909057e-002
1.07933308010356e-002	-4.10085516514664e-002,7.22241821282081e-002
1.07980674655733e-002	-4.10442412608887e-002,7.22597257765237e-002
1.08028062088012e-002	-4.10799616575513e-002,7.22952900514244e-002
1.08075470316316e-002	-4.11157128675342e-002,7.23308749684978e-002
1.08122899349770e-002	-4.11514949169369e-002,7.23664805433463e-002
1.08170349197506e-002	-4.11873078318805e-002,7.24021067915876e-002
1.08217819868656e-002	-4.12231516385081e-002,7.24377537288549e-002
1.08265311372361e-002	-4.12590263629833e-002,7.24734213707967e-002
1.08312823717762e-002	-4.12949320314934e-002,7.25091097330769e-002
1.08360356914005e-002	-4.13308686702415e-002,7.25448188313740e-002
1.08407910970242e-002	-4.13668363054593e-002,7.25805486813831e-002
1.08455485895625e-002	-4.14028349633944e-002,7.26162992988139e-002
1.08503081699315e-002	-4.14388646703184e-002,7.26520706993915e-002
1.08550698390473e-002	-4.14749254525217e-002,7.26878628988565e-002
1.08598335978266e-002	-4.15110173363200e-002,7.27236759129651e-002
1.08645994471864e-002	-4.15471403480468e-002,7.27595097574888e-002
1.08693673880443e-002	-4.15832945140589e-002,7.27953644482146e-002
1.08741374213179e-002	-4.16194798607355e-002,7.28312400009452e-002
1.08789095479257e-002	-4.16556964144732e-002,7.28671364314982e-002
1.08836837687862e-002	-4.16919442016956e-002,7.29030537557074e-002
1.08884600848186e-002	-4.17282232488429e-002,7.29389919894216e-002
1.08932384969422e-002	-4.17645335823806e-002,7.29749511485057e-002
1.08980190060770e-002	-4.18008752287932e-002,7.30109312488396e-002
1.09028016131433e-002	-4.18372482145882e-002,7.30469323063194e-002
1.09075863190617e-002	-4.18736525662931e-002,7.30829543368561e-002
1.09123731247533e-002	-4.19100883104586e-002,7.31189973563769e-002
1.09171620311396e-002	-4.19465554736565e-002,7.31550613808245e-002
1.09219530391425e-002	-4.19830540824803e-002,7.31911464261571e-002
1.09267461496843e-002	-4.20195841635448e-002,7.32272525083489e-002
1.09315413636876e-002	-4.20561457434859e-002,7.32633796433893e-002
1.09363386820757e-002	-4.20927388489623e-002,7.32995278472838e-002
1.09411381057719e-002	-4.21293635066536e-002,7.33356971360536e-002
1.09459396357003e-002	-4.21660197432616e-002,7.33718875257355e-002
1.09507432727851e-002	-4.22027075855096e-002,7.34080990323823e-002
1.09555490179511e-002	-4.22394270601435e-002,7.34443316720624e-002
1.09603568721234e-002	-4.22761781939280e-002,7.34805854608599e-002
1.09651668362276e-002	-4.23129610136541e-002,7.35168604148752e-002
1.09699789111895e-002	-4.23497755461310e-002,7.35531565502241e-002
1.09747930979356e-002	-4.23866218181896e-002,7.35894738830381e-002
1.09796093973925e-002	-4.24234998566845e-002,7.36258124294650e-002
1.09844278104876e-002	-4.24604096884926e-002,7.36621722056686e-002
1.09892483381482e-002	-4.24973513405113e-002,7.36985532278283e-002
1.09940709813025e-002	-4.25343248396574e-002,7.37349555121391e-002
1.09988957408788e-002	-4.25713302128769e-002,7.37713790748131e-002
1.10037226178059e-002	-4.26083674871282e-002,7.38078239320769e-002
1.10085516130130e-002	-4.26454366893985e-002,7.38442901001740e-002
1.10133827274297e-002	-4.26825378466943e-002,7.38807775953639e-002
